Category,Resume
Data Science,Skills  Programming Languages Python pandas numpy scipy scikitlearn matplotlib Sql Java JavaScriptJQuery  Machine learning Regression SVM NaA ve Bayes KNN Random Forest Decision Trees Boosting techniques Cluster Analysis Word Embedding Sentiment Analysis Natural Language processing Dimensionality reduction Topic Modelling LDA NMF PCA  Neural Nets  Database Visualizations Mysql SqlServer Cassandra Hbase ElasticSearch D3js DCjs Plotly kibana matplotlib ggplot Tableau  Others Regular Expression HTML CSS Angular 6 Logstash Kafka Python Flask Git Docker computer vision  Open CV and understanding of Deep learningEducation Details Data Science Assurance Associate Data Science Assurance Associate  Ernst  Young LLPSkill Details JAVASCRIPT Exprience  24 monthsjQuery Exprience  24 monthsPython Exprience  24 monthsCompany Details company  Ernst  Young LLPdescription  Fraud Investigations and Dispute Services   AssuranceTECHNOLOGY ASSISTED REVIEWTAR Technology Assisted Review assists in accelerating the review process and run analytics and generate reports Core member of a team helped in developing automated review platform tool from scratch for assisting E discovery domain this tool implements predictive coding and topic modelling by automating reviews resulting in reduced labor costs and time spent during the lawyers review Understand the end to end flow of the solution doing research and development for classification models predictive analysis and mining of the information present in text data Worked on analyzing the outputs and precision monitoring for the entire tool TAR assists in predictive coding topic modelling from the evidence by following EY standards Developed the classifier models in order to identify red flags and fraudrelated issuesTools  Technologies Python scikitlearn tfidf word2vec doc2vec cosine similarity NaA ve Bayes LDA NMF for topic modelling Vader and text blob for sentiment analysis Matplot lib Tableau dashboard for reportingMULTIPLE DATA SCIENCE AND ANALYTIC PROJECTS USA CLIENTSTEXT ANALYTICS  MOTOR VEHICLE CUSTOMER REVIEW DATA  Received customer feedback survey data for past one year Performed sentiment Positive Negative  Neutral and time series analysis on customer comments across all 4 categories Created heat map of terms by survey category based on frequency of words  Extracted Positive and Negative words across all the Survey categories and plotted Word cloud Created customized tableau dashboards for effective reporting and visualizationsCHATBOT  Developed a user friendly chatbot for one of our Products which handle simple questions about hours of operation reservation options and so on This chat bot serves entire product related questions Giving overview of tool via QA platform and also give recommendation responses so that user question to build chain of relevant answer This too has intelligence to build the pipeline of questions as per user requirement and asks the relevant recommended questionsTools  Technologies Python Natural language processing NLTK spacy topic modelling Sentiment analysis Word Embedding scikitlearn JavaScriptJQuery SqlServerINFORMATION GOVERNANCEOrganizations to make informed decisions about all of the information they store The integrated Information Governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk Scan data from multiple sources of formats and parse different file formats extract Meta data information push results for indexing elastic search and created customized interactive dashboards using kibana Preforming ROT Analysis on the data which give information of data which helps identify content that is either Redundant Outdated or Trivial Preforming fulltext search analysis on elastic search with predefined methods which can tag as PII personally identifiable information social security numbers addresses names etc which frequently targeted during cyberattacksTools  Technologies Python Flask Elastic Search KibanaFRAUD ANALYTIC PLATFORMFraud Analytics and investigative platform to review all red flag casesa FAP is a Fraud Analytics and investigative platform with inbuilt case manager and suite of Analytics for various ERP systems It can be used by clients to interrogate their Accounting systems for identifying the anomalies which can be indicators of fraud by running advanced analyticsTools  Technologies HTML JavaScript SqlServer JQuery CSS Bootstrap Nodejs D3js DCjs
Data Science,Education Details May 2013 to May 2017 BE   UITRGPVData Scientist Data Scientist  MatelabsSkill Details Python Exprience  Less than 1 year monthsStatsmodels Exprience  12 monthsAWS Exprience  Less than 1 year monthsMachine learning Exprience  Less than 1 year monthsSklearn Exprience  Less than 1 year monthsScipy Exprience  Less than 1 year monthsKeras Exprience  Less than 1 year monthsCompany Details company  Matelabsdescription  ML Platform for business professionals dummies and enthusiasts60A Koramangala 5th blockAchievementsTasks behind sukh sagar BengaluruIndia                               Developed and deployed auto preprocessing steps of machine learning mainly missing valuetreatment outlier detection encoding scaling feature selection and dimensionality reductionDeployed automated classification and regression modellinkedincominadityarathoreb4600b146                           Reasearch and deployed the time series forecasting model ARIMA SARIMAX Holtwinter andProphetWorked on metafeature extracting problemgithubcomrathorologyImplemented a state of the art research paper on outlier detection for mixed attributescompany  Matelabsdescription  
Data Science,Areas of Interest Deep Learning Control System Design Programming inPython Electric Machinery Web Development Analytics Technical Activities q Hindustan Aeronautics Limited Bangalore  For 4 weeks under the guidance of Mr Satish Senior Engineer in the hangar of Mirage 2000 fighter aircraft Technical Skills Programming Matlab Python and Java LabView Python WebFrameWorkDjango Flask LTSPICEintermediate Languages and and MIPOWERintermediate Github GitBash Jupyter Notebook Xampp MySQLBasics Python Software Packages InterpretersAnaconda Python2 Python3 Pycharm Java IDEEclipse Operating Systems Windows Ubuntu DebianKali Linux Education Details January 2019 BTech Electrical and Electronics Engineering  Manipal Institute of TechnologyJanuary 2015    DEEKSHA CENTERJanuary 2013    Little Flower Public SchoolAugust 2000    Manipal Academy of HigherDATA SCIENCE DATA SCIENCE AND ELECTRICAL ENTHUSIASTSkill Details Data Analysis Exprience  Less than 1 year monthsexcel Exprience  Less than 1 year monthsMachine Learning Exprience  Less than 1 year monthsmathematics Exprience  Less than 1 year monthsPython Exprience  Less than 1 year monthsMatlab Exprience  Less than 1 year monthsElectrical Engineering Exprience  Less than 1 year monthsSql Exprience  Less than 1 year monthsCompany Details company  THEMATHCOMPANYdescription  I am currently working with a Casino based operatorname not to be disclosed in MacauI need to segment the customers who visit their property based on the value the patrons bring into the companyBasically prove that the segmentation can be done in much better way than the current system which they have with proper numbers to back it upHenceforth they can implement target marketing strategy to attract their customers who add value to the business
Data Science,Skills a R a Python a SAP HANA a Tableau a SAP HANA SQL a SAP HANA PAL a MS SQL a SAP Lumira a C a Linear Programming a Data Modelling a Advance Analytics a SCM Analytics a Retail Analytics aSocial Media Analytics a NLP Education Details January 2017 to January 2018 PGDM Business Analytics  Great Lakes Institute of Management  Illinois Institute of TechnologyJanuary 2013 Bachelor of Engineering Electronics and Communication Bengaluru Karnataka New Horizon College of Engineering Bangalore Visvesvaraya Technological UniversityData Science Consultant Consultant  Deloitte USISkill Details LINEAR PROGRAMMING Exprience  6 monthsRETAIL Exprience  6 monthsRETAIL MARKETING Exprience  6 monthsSCM Exprience  6 monthsSQL Exprience  Less than 1 year monthsDeep Learning Exprience  Less than 1 year monthsMachine learning Exprience  Less than 1 year monthsPython Exprience  Less than 1 year monthsR Exprience  Less than 1 year monthsCompany Details company  Deloitte USIdescription  The project involved analysing historic deals and coming with insights to optimize future dealsRole Was given raw data carried out end to end analysis and presented insights to clientKey Responsibilitiesa Extract data from client systems across geographiesa Understand and build reports in tableau Infer meaningful insights to optimize prices and find out process blockadesTechnical Environment R TableauIndustry Cross IndustryService Area Cross Industry  ProductsProject Name Handwriting recognitionConsultant 3 monthsThe project involved taking handwritten images and converting them to digital text images by object detection and sentence creationRole I was developing sentence correction functionalityKey Responsibilitiesa Gather data large enough to capture all English wordsa Train LSTM models on wordsTechnical Environment PythonIndustry FinanceService Area Financial Services  BI development Project Name SWIFTConsultant 8 monthsThe project was to develop an analytics infrastructure on top of SAP S4 it would user to viewfinancial reports to respective departments Reporting also included forecasting expensesRole I was leading the offshore teamKey Responsibilitiesa Design  Develop data models for reportinga Develop ETL for data flowa Validate various reportsTechnical Environment SAP HANA Tableau SAP AOIndustry Healthcare AnalyticsService Area Life Sciences  Product development Project Name Clinical Healthcare SystemConsultant 2 monthsThe project was to develop an analytics infrastructure on top of Argus it would allow users to query faster and provide advance analytics capabilitiesRole I was involved from design to deploy phase performed a lot of data restructuring and builtmodels for insightsKey Responsibilitiesa Design  Develop data models for reportinga Develop and deploy analytical modelsa Validate various reportsTechnical Environment Data Modelling SAP HANA Tableau NLPIndustry FMCGService Area Trade  PromotionProject Name Consumption Based Planning for Flowers Foods Consultant 8 monthsThe project involved setting up of CRM and CBP modulesRole I was involved in key data decomposition activities and setting up the base for future yearforecast Over the course of the project I developed various models and carried out keyperformance improvementsKey Responsibilitiesa Design  Develop HANA models for decompositiona Develop data flow for forecasta Developed various views for reporting of CustomerSalesFundsa Validate various reports in BOBJTechnical Environment Data Modelling SAP HANA BOBJ Time Series ForecastingInternal Initiative Industry FMCGCustomer Segmentation and RFM analysis Consultant 3 monthsThe initiative involved setting up of HANAPython interface and advance analytics on Python Over the course I had successfully segmented data into five core segments using Kmeans and carried out RFM analysis in Python Also developed algorithm to categorize any new customer under the defined bucketsTechnical Environment Anaconda3 Python36 HANA SPS12Industry Telecom Invoice state detection Consultant 1 monthsThe initiative was to reduce the manual effort in verifying closed and open invoices manually itinvolved development to a decision tree to classify openclosed invoices This enabled effortreduction by 60Technical Environment R SAP PAL SAP HANA SPS12Accenture ExperienceIndustry Analytics  Cross IndustryIn Process Analytics for SAP Senior Developer 19 monthsAccenture Solutions Pvt Ltd IndiaThe project involved development of SAP analytics tool  In Process Analytics IPA  My role was to develop database objects and data models to provide operational insights to clientsRole I have developed various Finance related KPIs and spearheaded various deploymentsIntroduced SAP Predictive analytics to reduce development time and reuse functionalities for KPIs and prepared production planning reportsKey Responsibilitiesa Involved in information gather phasea Designed and implemented SAP HANA data modelling using Attribute View Analytic View andCalculation Viewa Developed various KPIs individually using complex SQL scripts in Calculation viewsa Created procedures in HANA Databasea Took ownership and developed Dashboard functionalitya Involved in building data processing algorithms to be executed in R server for cluster analysisTechnical Environment R SAP HANA TSQLIndustry Cross IndustryAccenture Testing Accelerator for SAP Database Developer 21 monthsAccenture Solutions Pvt Ltd IndiaRole I have taken care of all development activities for the ATAS tool and have also completedvarious deployments of the productApart from these activities I was also actively involved in maintenance of the database serversProduction  QualityKey Responsibilitiesa Analyzing business requirements understanding the scope getting requirements clarifiedinteracting with business and further transform all requirements to generate attributemapping documents and reviewing mapping specification documentationa Create  Update database objects like tables views stored procedures function and packagesa Monitored SQL Server Error Logs and Application Logs through SQL Server Agenta Prepared Data Flow Diagrams Entity Relationship Diagrams using UMLa Responsible for Designing developing and Normalization of database tablesa Experience in performance tuning using SQL profilera Involved in QA UAT knowledge transfer and support activitiesTechnical Environment SQL Server 20082014 Visual Studio 2010 Windows Server PerformanceMonitor SQL Server Profiler C PLSQL TSQL
Data Science,Education Details  MCA   YMCAUST  Faridabad  HaryanaData Science internship Skill Details Data Structure Exprience  Less than 1 year monthsC Exprience  Less than 1 year monthsData Analysis Exprience  Less than 1 year monthsPython Exprience  Less than 1 year monthsCore Java Exprience  Less than 1 year monthsDatabase Management Exprience  Less than 1 year monthsCompany Details company  Itechpowerdescription  
Data Science,SKILLS C Basics IOT Python MATLAB Data Science Machine Learning HTML Microsoft Word Microsoft Excel Microsoft Powerpoint RECOGNITION Academic Secured First place in BTechEducation Details August 2014 to May 2018 BTech  Ghatkesar Andhra Pradesh Auroras Scientific and Technological InstituteJune 2012 to May 2014  Secondary Education Warangal Telangana SR Junior CollegeData Science Skill Details MS OFFICE Exprience  Less than 1 year monthsC Exprience  Less than 1 year monthsmachine learning Exprience  Less than 1 year monthsdata science Exprience  Less than 1 year monthsMatlab Exprience  Less than 1 year monthsCompany Details company  description  
Data Science,Skills a Python a Tableau a Data Visualization a R Studio a Machine Learning a Statistics IABAC Certified Data Scientist with versatile experience over 1 years in managing business data science consulting and leading innovation projects bringing business ideas to working real world solutions Being a strong advocator of augmented era where human capabilities are enhanced by machines Fahed is passionate about bringing business concepts in area of machine learning AI robotics etc to real life solutionsEducation Details January 2017 B Tech Computer Science  Engineering Mohali Punjab Indo Global College of EngineeringData Science Consultant Data Science Consultant  DatamitesSkill Details MACHINE LEARNING Exprience  13 monthsPYTHON Exprience  24 monthsSOLUTIONS Exprience  24 monthsDATA SCIENCE Exprience  24 monthsDATA VISUALIZATION Exprience  24 monthsTableau Exprience  24 monthsCompany Details company  Datamitesdescription  a Analyzed and processed complex data sets using advanced querying visualization and analytics toolsa Responsible for loading extracting and validation of client dataa Worked on manipulating cleaning  processing data using pythona Used Tableau for data visualizationcompany  Heretic Solutions Pvt Ltddescription  a Worked closely with business to identify issues and used data to propose solutions for effective decision makinga Manipulating cleansing  processing data using Python Excel and Ra Analyzed raw data drawing conclusions  developing recommendationsa Used machine learning tools and statistical techniques to produce solutions to problems
Data Science,Education Details  BTech   Rayat and Bahra Institute of Engineering and BiotechnologyData Science Data ScienceSkill Details Numpy Exprience  Less than 1 year monthsMachine Learning Exprience  Less than 1 year monthsTensorflow Exprience  Less than 1 year monthsScikit Exprience  Less than 1 year monthsPython Exprience  Less than 1 year monthsGCP Exprience  Less than 1 year monthsPandas Exprience  Less than 1 year monthsNeural Network Exprience  Less than 1 year monthsCompany Details company  Wiprodescription  Bhawana AggarwalEMailbhawanachdgmailcomPhone 09876971076VVersatile highenergy professional targeting challenging assignments in MachinePROFILE SUMMARYaa An IT professional with knowledge and experience of 2 years in Wipro Technologies in MachineLearning Deep Learning Data Science Python Software Developmentaa Skilled in managing endtoend development and software products  projects from inception requirementspecs planning designing implementation configuration and documentationaa Knowledge on Python  Machine Learning Deep Learning data Science Algorithms Neural NetworkNLP GCPaa Knowledge on Python Libraries like Numpy Pandas Seaborn  Matplotlib Cufflinksaa Knowledge on different algorithms in Machine learning like KNN Decision Tree Bias variance Trade offSupport vector MachineSVMLogistic Regression Neural networksaa Have knowledge on unsupervised Supervised and reinforcement dataaa Programming experience in relational platforms like MySQLOracleaa Have knowledge on Some programming language like CJavaaa Experience in cloud based environment like Google Cloudaa Working on different Operating System like Linux Ubuntu Windowsaa Good interpersonal and communication skillsaa Problem solving skills with the ability to think laterally and to think with a medium term and long termperspectiveaa Flexibility and an open attitude to changeaa Ability to create define and own frameworks with a strong emphasis on code reusabilityTECHNICAL SKILLSProgramming Languages Python CLibraries Seaborn Numpy Pandas Cufflinks MatplotlibAlgorithmsKNN Decision Tree Linear regression Logistic Regression Neural Networks K means clusteringTensorflow SVMDatabases SQL OracleOperating Systems Linux WindowDevelopment Environments NetBeans Notebooks SublimeTicketing tools Service Now RemedyEducationUG EducationBTech Computer Science from Rayat and Bahra Institute of Engineering and Biotechnology passed with 784in2016SchoolingXII in 2012 from Moti Ram Arya Sr Secondary SchoolPassed with 784X in 2010 from Valley Public School Passed with 94 CGPAWORK EXPERINCETitle  Wipro Neural Intelligence PlatformTeam Size  5Brief Wiproas Neural Intelligence Platform harnesses the power of automation and artificial intelligencetechnologiesanatural language processing NLP cognitive machine learning and analytics The platformcomprises three layers a data engagement platform that can easily access and manage multiple structured andunstructured data sources an aintent assessment and reasoninga engine that includes sentiment and predictiveanalytics and a deep machine learning engine that can sense act and learn over time The project entailedautomating responses to user queries at the earliest The Monster Bot using the power of Deep Machine LearningNLP to handle such queries User can see the how their queries can be answered quickly like allL1 activities can beeliminatedEntity Extractor  This involves text extraction and NLP for fetching out important information from the text likedates names places contact numbers etc This involves Regex Bluemix NLU apias and machine learning usingTensor flow for further learning of new entitiesClassifier This involves the classifications of classes training of dataset and predicting the output using the SKLearnclassifier MNB SVM SGD as Classifier and SGD for the optimization to map the user queries with the bestsuited response and make the system efficientNER A Deep Learning NER Model is trained to extract the entities from the text Entities like Roles SkillsOrganizations can be extracted from raw text RNNLSTM Bidirectional model is trained for extracting such entitiesusing Keras TensorFlow frameworkOTHER PROJECTSTitle  Diabetes DetectionBrief  Developed the software which can detect whether the person is suffering from Diabetes or not and got the thirdprize in itTRAINING AND CERTIFICATIONSTitle Python Training Machine Learning Data Science Deep LearningOrganization Udemy Coursera Machine Learning Deep LearningPersonal ProfileFatheras Name Mr Tirlok AggarwalLanguage Known  English  HindiMarital Status SingleDate of BirthGender19931220YYYYMMDD Fcompany  Wiprodescription  Developing programs in Pythoncompany  Wiprodescription  Title  Wipro Neural Intelligence PlatformTeam Size  5Brief Wiproas Neural Intelligence Platform harnesses the power of automation and artificial intelligencetechnologiesanatural language processing NLP cognitive machine learning and analytics The platformcomprises three layers a data engagement platform that can easily access and manage multiple structured andunstructured data sources an aintent assessment and reasoninga engine that includes sentiment and predictiveanalytics and a deep machine learning engine that can sense act and learn over time The project entailedautomating responses to user queries at the earliest The Monster Bot using the power of Deep Machine LearningNLP to handle such queries User can see the how their queries can be answered quickly like allL1 activities can beeliminatedEntity Extractor  This involves text extraction and NLP for fetching out important information from the text likedates names places contact numbers etc This involves Regex Bluemix NLU apias and machine learning usingTensor flow for further learning of new entitiesClassifier This involves the classifications of classes training of dataset and predicting the output using the SKLearnclassifier MNB SVM SGD as Classifier and SGD for the optimization to map the user queries with the bestsuited response and make the system efficientNER A Deep Learning NER Model is trained to extract the entities from the text Entities like Roles SkillsOrganizations can be extracted from raw text RNNLSTM Bidirectional model is trained for extracting such entitiesusing Keras TensorFlow frameworkcompany  Wipro Technologiesdescription  An IT professional with knowledge and experience of 2 years in Wipro Technologies in MachineLearning Deep Learning Data Science Python Software Developmentaa Skilled in managing endtoend development and software products  projects from inception requirementspecs planning designing implementation configuration and documentationaa Knowledge on Python  Machine Learning Deep Learning data Science Algorithms Neural NetworkNLP GCPaa Knowledge on Python Libraries like Numpy Pandas Seaborn  Matplotlib Cufflinksaa Knowledge on different algorithms in Machine learning like KNN Decision Tree Bias variance Trade offSupport vector MachineSVMLogistic Regression Neural networksaa Have knowledge on unsupervised Supervised and reinforcement dataaa Programming experience in relational platforms like MySQLOracleaa Have knowledge on Some programming language like CJavaaa Experience in cloud based environment like Google Cloudaa Working on different Operating System like Linux Ubuntu Windowsaa Good interpersonal and communication skillsaa Problem solving skills with the ability to think laterally and to think with a medium term and long termperspectiveaa Flexibility and an open attitude to changeaa Ability to create define and own frameworks with a strong emphasis on code reusability
Data Science,Personal Skills a Ability to quickly grasp technical aspects and willingness to learn a High energy levels  Result oriented Education Details January 2018 Master of Engineering Computer Technology  Application Bhopal Madhya Pradesh Truba Institute of Engineering  Information TechnologyJanuary 2010 BE computer science Bhopal Madhya Pradesh RKDF Institute of Science and Technology College of EngineeringJanuary 2006 Polytechnic Information Technology Vidisha Madhya Pradesh SATI Engineering College in VidishaJanuary 2003 Mtech Thesis Detail  BMCH School in Ganj basodaData science I have six month experience in Data Science Key Skills  Experience in Machine Learning Deep Leaning NLP Python SQL Web Scraping Good knowledge in computer subjects and ability to updateSkill Details Experience in Machine Learning Deep Learning NLP Python SQL Web Crawling HTMLCSS Exprience  Less than 1 year monthsCompany Details company  RNTAI Technology Solutiondescription  Text classification using Machine learning Algorithms with pythonPractical knowledge of Deep learning algorithms such as A Recurrent Neural NetworksRNNDevelop custom data models and algorithms to apply to datasetExperience with Python packages like Pandas Scikitlearn Tensor Flow Numpy Matplotliv NLTKComfort with SQL A MYSQLSentiment analysisA Apply leave Dataset using classification technique like Tfidf  LSA with cosine similarity using Machine learning AlgorithmsWeb crawling using Selenium web driver and Beautiful Soup with pythoncompany  Life Insurance Corporation of India Bhopaldescription  A14A Explaining policy features and the benefitsA14 Updated knowledge of life insurance products and shared with customers
Data Science,Expertise a Data and Quantitative Analysis a Decision Analytics a Predictive Modeling a DataDriven Personalization a KPI Dashboards a Big Data Queries and Interpretation a Data Mining and Visualization Tools a Machine Learning Algorithms a Business Intelligence BI a Research Reports and Forecasts Education Details  PGP in Data Science  Mumbai Maharashtra Aegis School of data science  Business BE in Electronics  Communication Electronics  Communication Indore Madhya Pradesh IES IPS AcademyData Scientist Data Scientist with PR CanadaSkill Details Algorithms Exprience  6 monthsBI Exprience  6 monthsBusiness Intelligence Exprience  6 monthsMachine Learning Exprience  24 monthsVisualization Exprience  24 monthsspark Exprience  24 monthspython Exprience  36 monthstableau Exprience  36 monthsData Analysis Exprience  24 monthsCompany Details company  Aegis school of Data Science  Businessdescription  Mostly working on industry project for providing solution along with Teaching Appointments Teach undergraduate and graduatelevel courses in Spark and Machine Learning as an adjunct faculty member at Aegis School of Data Science Mumbai 2017 to Presentcompany  Aegis school of Data  Businessdescription  Data Science Intern Nov 2015 to Jan 2016Furnish executive leadership team with insights analytics reports and recommendations enabling effective strategic planning across all business units distribution channels and product linesa Chat Bot using AWS LEX and Tensor flow  PythonThe goal of project creates a chat bot for an academic institution or university to handle queries related courses offered by that institute The objective of this task is to reduce human efforts as well as reduce man made errors Even by this companies handle their client 24x7 In this case companies are academic institutions and clients are participants or studentsa Web scraping using Selenium web driver   PythonThe task is to scrap the data from the online messaging portal in a text format and have to find the pattern form ita Data Visualization and Data insights   Hadoop Eco System Hive PySpark QlikSenseThe goal of this project is to build a Business Solutions to a Internet Service Provider Company like handling data which is generated per day basis for that we have to visualize that data and find the usage pattern form it and have a generate a reportsa Image Based Fraud Detection   Microsoft Face API PySpark Open CVThe main goal of project is Recognize similarity for a face to given Database images Face recognition is the recognizing a special face from set of different faces Face is extracted and then compared with the database Image if that Image recognized then the person already applied for loan from somewhere else and now hiding his or her identity this is how we are going to prevent the frauds in the initial stage itselfa Churn Analysis for Internet Service Provider   R Python Machine Learning HadoopThe objective is to identify the customer who is likely to churn in a given period of time we have to pretend the customer giving incentive offersa Sentiment Analysis   Python NLP Apache Spark service in IBM BluemixThis project is highly emphasis on tweets from Twitter data were taken for mobile networks service provider to do a sentiment analysis and analyze whether the expressed opinion was positive negative or neutral capture the emotions of the tweets and comparative analysisQuantifiable Resultsa Mentored 712 Data Science Enthusiast each year that have all since gone on to graduate school in Data Science and Business Analyticsa Reviewed and evaluated 2040 Research Papers on Data Science for one of the largest Data Science Conference called Data Science Congress by Aegis School of Business Mumbaia Heading a solution providing organization called Data Science Delivered into Aegis school of Data Science Mumbai and managed 45 live projects using Data Science techniquesa Working for some social cause with the help of Data Science for Social Goods Committee where our team developed a product called Lets find a missing Child for helping societycompany  IBM India pvt ltddescription  Mostly worked on blumix and IBM Watson for Data science
